지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심적설(cm)
101,춘천,2022-01-01,-8.2,,
101,춘천,2022-01-02,-2.7,0,
101,춘천,2022-01-03,-3.8,0,
101,춘천,2022-01-04,-3.4,,
101,춘천,2022-01-05,-4.7,,
101,춘천,2022-01-06,-4.1,,
101,춘천,2022-01-07,-4.9,,
101,춘천,2022-01-08,-3,0,
101,춘천,2022-01-09,-.4,,
101,춘천,2022-01-10,-1.7,0,
101,춘천,2022-01-11,-5.1,.3,
101,춘천,2022-01-12,-8.6,,
101,춘천,2022-01-13,-8.5,,
101,춘천,2022-01-14,-8.3,,
101,춘천,2022-01-15,-4.5,0,
101,춘천,2022-01-16,-1.4,0,
101,춘천,2022-01-17,-7,,
101,춘천,2022-01-18,-7.2,,
101,춘천,2022-01-19,-6.7,2.2,
101,춘천,2022-01-20,-7.5,,
101,춘천,2022-01-21,-6.2,,
101,춘천,2022-01-22,-5.2,,
101,춘천,2022-01-23,.9,,
101,춘천,2022-01-24,2,,
101,춘천,2022-01-25,1,.3,
101,춘천,2022-01-26,.1,,
101,춘천,2022-01-27,-2.2,,
101,춘천,2022-01-28,-4.2,,
101,춘천,2022-01-29,-5.2,,
101,춘천,2022-01-30,-5.3,,
101,춘천,2022-01-31,-3.9,0,
101,춘천,2022-02-01,-1.2,.6,
101,춘천,2022-02-02,-4,0,
101,춘천,2022-02-03,-4.9,,
101,춘천,2022-02-04,-6.4,,
101,춘천,2022-02-05,-7.8,,
101,춘천,2022-02-06,-5.1,,
101,춘천,2022-02-07,-4.4,,
101,춘천,2022-02-08,-2.5,,
101,춘천,2022-02-09,-2.2,,
101,춘천,2022-02-10,-.7,,
101,춘천,2022-02-11,-.1,,
101,춘천,2022-02-12,2.2,,
101,춘천,2022-02-13,2.2,,
101,춘천,2022-02-14,1.2,.7,
101,춘천,2022-02-15,-3.4,0,
101,춘천,2022-02-16,-7.2,,
101,춘천,2022-02-17,-7.4,,
101,춘천,2022-02-18,-3.5,,
101,춘천,2022-02-19,-1.1,,
101,춘천,2022-02-20,-4.4,,
101,춘천,2022-02-21,-4.6,.6,
101,춘천,2022-02-22,-4.7,,
101,춘천,2022-02-23,-6.8,,
101,춘천,2022-02-24,-4.1,,
101,춘천,2022-02-25,.6,,
101,춘천,2022-02-26,4.9,4.7,
101,춘천,2022-02-27,3.4,,
101,춘천,2022-02-28,3.6,,
101,춘천,2022-03-01,3.8,.9,
101,춘천,2022-03-02,2.5,,
101,춘천,2022-03-03,3.9,,
101,춘천,2022-03-04,5.5,.3,
101,춘천,2022-03-05,3,,
101,춘천,2022-03-06,1,,
101,춘천,2022-03-07,1.8,,
101,춘천,2022-03-08,4.1,,
101,춘천,2022-03-09,5.6,,
101,춘천,2022-03-10,7.8,,
101,춘천,2022-03-11,8.1,,
101,춘천,2022-03-12,10.8,3.9,
101,춘천,2022-03-13,11.9,38.6,
101,춘천,2022-03-14,8.7,7.5,
101,춘천,2022-03-15,8,,
101,춘천,2022-03-16,9.1,,
101,춘천,2022-03-17,9.4,,
101,춘천,2022-03-18,6.5,0,
101,춘천,2022-03-19,3.5,11.5,
101,춘천,2022-03-20,4.7,.1,
101,춘천,2022-03-21,4.4,,
101,춘천,2022-03-22,6,,
101,춘천,2022-03-23,5.6,,
101,춘천,2022-03-24,7.4,,
101,춘천,2022-03-25,9.8,9.1,
101,춘천,2022-03-26,11.2,30.6,
101,춘천,2022-03-27,7.3,,
101,춘천,2022-03-28,6,,
