AccumulateCovid19,areaNm,increase,AccumulateReleased,localIncrease,CovidForeigner,baseYmd
838295,전라남도,1028,0,1028,0,2022-10-25
602983,전라남도,148,0,147,1,2022-07-04
111483,전라남도,7957,6956,7953,4,2022-03-09
6126,전라남도,48,5404,47,1,2022-01-01
128930,전라남도,8987,6956,8984,3,2022-03-11
605534,전라남도,440,0,439,1,2022-07-10
10736,전라남도,320,5886,313,7,2022-01-30
829476,전라남도,467,0,467,0,2022-10-11
828260,전라남도,502,0,499,3,2022-10-08
677367,전라남도,5342,0,5319,23,2022-08-11
886730,전라남도,1657,0,1655,2,2022-12-02
199346,전라남도,18958,6965,18957,1,2022-03-17
806148,전라남도,2744,0,2739,5,2022-09-14
24839,전라남도,1264,6927,1259,5,2022-02-14
859225,전라남도,1320,0,1320,0,2022-11-13
866090,전라남도,1340,0,1338,2,2022-11-18
503795,전라남도,5721,0,5721,0,2022-04-15
832944,전라남도,291,0,291,0,2022-10-17
242903,인천광역시,12105,85945,12104,1,2022-03-02
1445918,인천광역시,1410,0,1408,2,2022-10-14
62492,인천광역시,2238,42391,2227,11,2022-02-06
1078815,인천광역시,260,0,250,10,2022-06-18
1430777,인천광역시,1343,0,1268,75,2022-10-02
1008857,인천광역시,4098,0,4098,0,2022-04-22
1279332,인천광역시,6254,0,6155,99,2022-08-20
1444508,인천광역시,1658,0,1655,3,2022-10-13
1381271,인천광역시,1676,0,1596,80,2022-09-11
50430,인천광역시,1316,38039,1306,10,2022-01-30
1314240,인천광역시,5424,0,5336,88,2022-08-26
44350,인천광역시,670,36665,653,17,2022-01-25
1607181,인천광역시,1543,0,1540,3,2022-12-12
40430,인천광역시,200,35422,187,13,2022-01-17
1598340,인천광역시,3605,0,3603,2,2022-12-09
985503,인천광역시,4874,0,4874,0,2022-04-17
36962,인천광역시,241,30703,239,2,2022-01-01
1096026,인천광역시,2097,0,2021,76,2022-07-13
75776,인천광역시,3996,44778,3990,6,2022-02-10
541014,울산광역시,506,0,505,1,2022-10-20
596529,울산광역시,1404,0,1403,1,2022-12-17
347729,울산광역시,689,0,689,0,2022-04-25
533961,울산광역시,358,0,358,0,2022-10-04
395639,울산광역시,1178,0,1171,7,2022-07-16
379019,울산광역시,331,0,330,1,2022-06-04
539318,울산광역시,211,0,211,0,2022-10-17
535799,울산광역시,366,0,365,1,2022-10-08
11406,울산광역시,593,11999,592,1,2022-02-07
7101,울산광역시,48,6570,47,1,2022-01-05
347040,울산광역시,1689,0,1689,0,2022-04-24
533603,울산광역시,189,0,189,0,2022-10-03
381307,울산광역시,297,0,294,3,2022-06-12
9591,울산광역시,300,7661,296,4,2022-02-02
49618,울산광역시,2485,25453,2485,0,2022-02-28
529665,울산광역시,462,0,459,3,2022-09-24
92536,울산광역시,6582,57385,6582,0,2022-03-09
484747,울산광역시,2863,0,2856,7,2022-08-21
383499,울산광역시,317,0,315,2,2022-06-21
433367,울산광역시,2881,0,2864,17,2022-08-04
590251,울산광역시,1781,0,1781,0,2022-12-13
525849,울산광역시,718,0,715,3,2022-09-17
558970,울산광역시,964,0,964,0,2022-11-13
382825,울산광역시,244,0,244,0,2022-06-18
536109,울산광역시,310,0,309,1,2022-10-09
1092766,경상남도,409,0,408,1,2022-06-07
1386300,경상남도,2572,0,2549,23,2022-08-29
1477989,경상남도,2866,0,2841,25,2022-09-20
937699,경상남도,12563,0,12561,2,2022-04-12
1104875,경상남도,576,0,571,5,2022-07-02
1527359,경상남도,1884,0,1880,4,2022-10-26
1509704,경상남도,1545,0,1543,2,2022-10-12
1324538,경상남도,8841,0,8805,36,2022-08-20
1112756,경상남도,658,0,642,16,2022-07-11
949038,경상남도,11340,0,11336,4,2022-04-13
1597752,경상남도,2915,0,2914,1,2022-11-25
96234,경상남도,8023,56646,8016,7,2022-02-23
1067902,경상남도,1734,0,1734,0,2022-05-15
1534676,경상남도,786,0,785,1,2022-10-31
1091517,경상남도,688,0,686,2,2022-06-04
1499935,경상남도,975,0,971,4,2022-10-04
1620811,경상남도,2727,0,2723,4,2022-12-03
1076155,경상남도,1509,0,1506,3,2022-05-20
1199658,경상남도,5815,0,5796,19,2022-08-04
21343,경상남도,114,19280,111,3,2022-01-05
1072890,경상남도,1929,0,1926,3,2022-05-18
1545558,경상남도,1859,0,1858,1,2022-11-05
1643576,경상남도,3758,0,3755,3,2022-12-10
819856,대구광역시,2874,0,2859,15,2022-07-30
983019,대구광역시,4910,0,4896,14,2022-08-28
960914,대구광역시,7895,0,7875,20,2022-08-24
1214272,대구광역시,778,0,778,0,2022-12-12
764196,대구광역시,673,0,671,2,2022-06-09
1021309,대구광역시,5032,0,5022,10,2022-09-06
1065709,대구광역시,2132,0,2124,8,2022-09-21
715274,대구광역시,3246,0,3246,0,2022-05-03
1060026,대구광역시,2021,0,2016,5,2022-09-18
1030602,대구광역시,3931,0,3922,9,2022-09-08
1090488,대구광역시,474,0,472,2,2022-10-10
23946,대구광역시,108,22340,104,4,2022-01-08
1245088,대구광역시,3197,0,3194,3,2022-12-22
1125129,대구광역시,1953,0,1951,2,2022-11-04
774035,대구광역시,253,0,242,11,2022-07-04
23739,대구광역시,110,22066,106,4,2022-01-06
32085,대구광역시,908,25631,902,6,2022-01-30
754641,대구광역시,1015,0,1015,0,2022-05-27
1093144,부산광역시,707,0,707,0,2022-06-01
1430569,부산광역시,3322,0,3317,5,2022-09-08
1403481,부산광역시,4488,0,4486,2,2022-09-01
26511,부산광역시,207,23228,204,3,2022-01-07
990236,부산광역시,9610,0,9610,0,2022-04-12
1115858,부산광역시,1297,0,1286,11,2022-07-10
1483486,부산광역시,794,0,794,0,2022-10-11
1487485,부산광역시,1113,0,1111,2,2022-10-14
1110890,부산광역시,1164,0,1162,2,2022-07-06
29239,부산광역시,292,26707,287,5,2022-01-23
1288716,부산광역시,4677,0,4670,7,2022-08-16
1098770,부산광역시,188,0,188,0,2022-06-13
803861,부산광역시,16705,283091,0,16705,2022-03-25
1071453,부산광역시,1997,0,1997,0,2022-05-11
1358995,부산광역시,8592,0,8591,1,2022-08-24
1108558,부산광역시,291,0,291,0,2022-07-04
1619851,부산광역시,3783,0,3783,0,2022-12-09
1107113,부산광역시,586,0,586,0,2022-07-01
1241953,부산광역시,10011,0,9999,12,2022-08-09
1603322,부산광역시,992,0,990,2,2022-12-05
1581519,부산광역시,2418,0,2418,0,2022-11-27
1427250,부산광역시,3675,0,3670,5,2022-09-07
1281110,부산광역시,7008,0,6999,9,2022-08-14
1495558,부산광역시,1206,0,1205,1,2022-10-21
142217,세종특별자치시,320,0,317,3,2022-07-12
2265,세종특별자치시,13,2113,13,0,2022-01-09
2365,세종특별자치시,7,2228,5,2,2022-01-17
223240,세종특별자치시,223,0,223,0,2022-12-19
196793,세종특별자치시,179,0,179,0,2022-10-15
147414,세종특별자치시,232,0,224,8,2022-07-25
111103,세종특별자치시,1891,0,1891,0,2022-04-08
140751,세종특별자치시,79,0,78,1,2022-07-02
195622,세종특별자치시,149,0,148,1,2022-10-08
230222,세종특별자치시,465,0,464,1,2022-12-31
128936,세종특별자치시,666,0,666,0,2022-04-26
126843,세종특별자치시,570,0,570,0,2022-04-22
140144,세종특별자치시,76,0,67,9,2022-06-22
133403,세종특별자치시,152,0,152,0,2022-05-09
180575,세종특별자치시,849,0,845,4,2022-08-31
151608,세종특별자치시,588,0,581,7,2022-07-31
210330,세종특별자치시,580,0,580,0,2022-11-22
161446,세종특별자치시,1053,0,1045,8,2022-08-11
2790,세종특별자치시,59,2387,58,1,2022-01-28
194804,세종특별자치시,184,0,184,0,2022-10-04
562022,충청북도,166,0,160,6,2022-07-04
782917,충청북도,519,0,518,1,2022-10-11
560894,충청북도,231,0,209,22,2022-06-29
291231,충청북도,12587,190741,12586,1,2022-03-24
12134,충청북도,54,11375,53,1,2022-01-11
545883,충청북도,1022,0,1020,2,2022-05-19
790780,충청북도,769,0,769,0,2022-10-21
559395,충청북도,235,0,231,4,2022-06-21
501007,충청북도,3509,0,3507,2,2022-04-21
767715,충청북도,1157,0,1147,10,2022-09-22
560443,충청북도,85,0,80,5,2022-06-27
910483,충청북도,2007,0,2006,1,2022-12-30
483847,충청북도,4151,0,4149,2,2022-04-16
557615,충청북도,102,0,98,4,2022-06-13
843564,충청북도,1632,0,1632,0,2022-11-25
823635,충청북도,909,0,909,0,2022-11-14
811140,충청북도,636,0,636,0,2022-11-07
15696,충청북도,410,13032,405,5,2022-02-01
541063,충청북도,1086,0,1081,5,2022-05-14
882511,전라북도,1768,0,1768,0,2022-11-13
630615,전라북도,2354,0,2334,20,2022-07-24
852134,전라북도,898,0,893,5,2022-10-18
877392,전라북도,1704,0,1704,0,2022-11-10
869223,전라북도,1290,0,1290,0,2022-11-04
827869,전라북도,1363,0,1353,10,2022-09-18
