AccumulateCovid19,areaNm,increase,AccumulateReleased,localIncrease,CovidForeigner,baseYmd
6923,울산광역시,50,6371,50,0,2022-01-01
2158,세종특별자치시,16,1957,16,0,2022-01-01
11602,충청북도,104,10540,103,1,2022-01-01
4661,제주특별자치도,23,4446,22,1,2022-01-01
9653,전라북도,85,8249,84,1,2022-01-01
187754,경기도,1391,147229,1359,32,2022-01-01
25287,부산광역시,212,21163,210,2,2022-01-01
226698,서울특별시,1464,177348,1429,35,2022-01-01
12315,대전광역시,65,10584,64,1,2022-01-01
20840,경상남도,162,18366,162,0,2022-01-01
15431,경상북도,116,13456,114,2,2022-01-01
25503,부산광역시,216,21539,214,2,2022-01-02
4680,제주특별자치도,19,4464,18,1,2022-01-02
20981,경상남도,141,18520,136,5,2022-01-02
8211,광주광역시,93,7410,93,0,2022-01-02
189031,경기도,1277,147387,1244,33,2022-01-02
9732,전라북도,79,8369,76,3,2022-01-02
15525,경상북도,94,13547,94,0,2022-01-02
2170,세종특별자치시,12,1974,12,0,2022-01-02
21113,경상남도,132,18808,129,3,2022-01-03
228867,서울특별시,993,178481,964,29,2022-01-03
12577,강원도,54,11420,50,4,2022-01-03
189948,경기도,917,147546,894,23,2022-01-03
18449,충청남도,115,16136,115,0,2022-01-03
8286,광주광역시,75,7458,73,2,2022-01-03
18563,충청남도,114,16252,110,4,2022-01-04
229801,서울특별시,938,180705,903,35,2022-01-04
9910,전라북도,92,8630,89,3,2022-01-04
21229,경상남도,117,19075,112,5,2022-01-04
37553,인천광역시,171,32995,162,9,2022-01-04
4726,제주특별자치도,18,4502,17,1,2022-01-04
15636,경상북도,62,14005,59,3,2022-01-04
12457,대전광역시,34,10810,31,3,2022-01-04
6249,전라남도,46,5554,42,4,2022-01-04
190895,경기도,947,155491,916,31,2022-01-04
11760,충청북도,61,10858,61,0,2022-01-04
18702,충청남도,139,16390,137,2,2022-01-05
192362,경기도,1467,155812,1416,51,2022-01-05
8422,광주광역시,75,7593,73,2,2022-01-05
11828,충청북도,68,10950,67,1,2022-01-05
37824,인천광역시,271,33246,261,10,2022-01-05
10007,전라북도,97,8736,93,4,2022-01-05
12709,강원도,69,11706,68,1,2022-01-05
12508,대전광역시,51,10923,41,10,2022-01-05
38107,인천광역시,283,33480,273,10,2022-01-06
15822,경상북도,89,14322,88,1,2022-01-06
12549,대전광역시,41,11004,38,3,2022-01-06
12766,강원도,57,11840,54,3,2022-01-06
6368,전라남도,59,5661,57,2,2022-01-06
21446,경상남도,103,19515,101,2,2022-01-06
2226,세종특별자치시,18,2058,18,0,2022-01-06
4788,제주특별자치도,19,4544,16,3,2022-01-06
38288,인천광역시,181,33717,172,9,2022-01-07
15931,경상북도,109,14426,104,5,2022-01-07
8600,광주광역시,87,7763,87,0,2022-01-07
23838,대구광역시,99,22193,95,4,2022-01-07
2240,세종특별자치시,14,2074,14,0,2022-01-07
10162,전라북도,84,8920,78,6,2022-01-07
18897,충청남도,116,16618,108,8,2022-01-07
195149,경기도,1261,156249,1224,37,2022-01-07
7169,울산광역시,38,6644,33,5,2022-01-07
233457,서울특별시,1038,187191,979,59,2022-01-07
4807,제주특별자치도,9,4583,6,3,2022-01-08
10229,전라북도,67,9012,64,3,2022-01-08
7196,울산광역시,27,6701,27,0,2022-01-08
12016,충청북도,53,11149,51,2,2022-01-08
18993,충청남도,96,16718,93,3,2022-01-08
234449,서울특별시,994,188072,933,61,2022-01-08
16016,경상북도,85,14512,82,3,2022-01-08
26692,부산광역시,181,23526,173,8,2022-01-08
12937,강원도,81,12008,77,4,2022-01-08
8689,광주광역시,89,7866,87,2,2022-01-08
7230,울산광역시,34,6741,31,3,2022-01-09
4818,제주특별자치도,11,4604,8,3,2022-01-09
10305,전라북도,76,9116,71,5,2022-01-09
24054,대구광역시,108,22458,105,3,2022-01-09
16109,경상북도,93,14556,89,4,2022-01-09
235415,서울특별시,966,189400,891,75,2022-01-09
8781,광주광역시,92,7971,88,4,2022-01-09
12665,대전광역시,40,11243,35,5,2022-01-09
12050,충청북도,34,11224,32,2,2022-01-09
13014,강원도,77,12081,70,7,2022-01-09
21746,경상남도,98,20124,86,12,2022-01-09
198485,경기도,1014,165767,982,32,2022-01-10
13074,강원도,60,12151,56,4,2022-01-10
10401,전라북도,96,9252,93,3,2022-01-10
16197,경상북도,88,14633,79,9,2022-01-10
4831,제주특별자치도,13,4624,8,5,2022-01-10
10459,전라북도,58,9346,55,3,2022-01-11
19307,충청남도,105,17059,98,7,2022-01-11
199600,경기도,1115,165992,1055,60,2022-01-11
38955,인천광역시,154,34498,140,14,2022-01-11
4846,제주특별자치도,15,4645,13,2,2022-01-11
2294,세종특별자치시,16,2147,15,1,2022-01-11
24218,대구광역시,71,22697,66,5,2022-01-11
13162,강원도,88,12214,85,3,2022-01-11
236946,서울특별시,755,191317,670,85,2022-01-11
7275,울산광역시,22,6823,17,5,2022-01-11
21918,경상남도,92,20486,84,8,2022-01-11
7302,울산광역시,27,6888,27,0,2022-01-12
12831,대전광역시,90,11545,81,9,2022-01-12
22037,경상남도,119,20637,112,7,2022-01-12
19422,충청남도,115,17151,112,3,2022-01-12
10517,전라북도,58,9556,58,0,2022-01-12
12202,충청북도,68,11443,66,2,2022-01-12
201227,경기도,1629,166188,1567,62,2022-01-12
16334,경상북도,77,14949,72,5,2022-01-12
7038,전라남도,164,5884,160,4,2022-01-12
238039,서울특별시,1093,191317,973,120,2022-01-12
9248,광주광역시,158,8164,158,0,2022-01-12
