baseYmd,AccumulateCovid19,areaNm,increase,AccumulateReleased,localIncrease,CovidForeigner
2022-01-01,6923.0,울산광역시,50.0,6371.0,50.0,0.0
2022-01-02,6981.0,울산광역시,58.0,6411.0,58.0,0.0
2022-01-03,7019.0,울산광역시,38.0,6453.0,38.0,0.0
2022-01-04,7053.0,울산광역시,34.0,6517.0,33.0,1.0
2022-01-05,7101.0,울산광역시,48.0,6570.0,47.0,1.0
2022-01-06,7131.0,울산광역시,30.0,6604.0,28.0,2.0
2022-01-07,7169.0,울산광역시,38.0,6644.0,33.0,5.0
2022-01-08,7196.0,울산광역시,27.0,6701.0,27.0,0.0
2022-01-09,7230.0,울산광역시,34.0,6741.0,31.0,3.0
2022-01-10,7253.0,울산광역시,23.0,6782.0,20.0,3.0
2022-01-11,7275.0,울산광역시,22.0,6823.0,17.0,5.0
2022-01-12,7302.0,울산광역시,27.0,6888.0,27.0,0.0
2022-01-13,7329.0,울산광역시,27.0,6928.0,26.0,1.0
2022-01-14,7369.0,울산광역시,40.0,6967.0,34.0,6.0
2022-01-15,7386.0,울산광역시,17.0,7009.0,14.0,3.0
2022-01-16,7405.0,울산광역시,19.0,7045.0,15.0,4.0
2022-01-17,7424.0,울산광역시,19.0,7080.0,17.0,2.0
2022-01-18,7459.0,울산광역시,35.0,7107.0,33.0,2.0
2022-01-19,7503.0,울산광역시,44.0,7137.0,44.0,0.0
2022-01-20,7575.0,울산광역시,72.0,7155.0,69.0,3.0
2022-01-21,7657.0,울산광역시,82.0,7155.0,78.0,4.0
2022-01-22,7708.0,울산광역시,51.0,7194.0,50.0,1.0
2022-01-23,7799.0,울산광역시,91.0,7219.0,84.0,7.0
2022-01-24,7868.0,울산광역시,69.0,7249.0,65.0,4.0
2022-01-25,7969.0,울산광역시,101.0,7265.0,96.0,5.0
2022-01-26,8117.0,울산광역시,148.0,7265.0,142.0,6.0
2022-01-27,8265.0,울산광역시,148.0,7371.0,146.0,2.0
2022-01-28,8423.0,울산광역시,158.0,7396.0,156.0,2.0
2022-01-29,8623.0,울산광역시,200.0,7432.0,200.0,0.0
2022-01-30,8835.0,울산광역시,212.0,7472.0,202.0,10.0
2022-01-31,9037.0,울산광역시,202.0,7542.0,202.0,0.0
2022-02-01,9291.0,울산광역시,254.0,7584.0,250.0,4.0
2022-02-02,9591.0,울산광역시,300.0,7661.0,296.0,4.0
2022-02-03,9861.0,울산광역시,270.0,7736.0,270.0,0.0
2022-02-04,10332.0,울산광역시,471.0,7798.0,471.0,0.0
2022-02-05,10835.0,울산광역시,503.0,7914.0,503.0,0.0
2022-02-06,11406.0,울산광역시,571.0,8036.0,571.0,0.0
2022-02-07,11406.0,울산광역시,593.0,11999.0,592.0,1.0
2022-02-08,12500.0,울산광역시,501.0,8438.0,501.0,0.0
2022-02-09,13291.0,울산광역시,791.0,8589.0,789.0,2.0
2022-02-10,14023.0,울산광역시,732.0,8929.0,732.0,0.0
2022-02-11,14818.0,울산광역시,795.0,9492.0,795.0,0.0
2022-02-12,15544.0,울산광역시,726.0,9997.0,726.0,0.0
2022-02-13,16349.0,울산광역시,805.0,10364.0,805.0,0.0
2022-02-14,17025.0,울산광역시,676.0,10957.0,676.0,0.0
2022-02-15,17801.0,울산광역시,776.0,11613.0,776.0,0.0
2022-02-16,19560.0,울산광역시,1759.0,12421.0,1759.0,0.0
2022-02-17,21251.0,울산광역시,1691.0,13096.0,1691.0,0.0
