festivalNm,fStart,fClose,Days,areaNm
불갑산상사화축제,2022-09-16,2022-09-25,9 days,전라남도
필봉마을굿축제,2022-08-12,2022-08-15,3 days,전라북도
임실N치즈축제,2022-10-07,2022-10-10,3 days,전라북도
산타축제,2022-12-23,2022-12-25,2 days,전라북도
울산쇠부리축제,2022-05-13,2022-05-15,2 days,울산광역시
울산조선해양축제,2022-07-22,2022-07-24,2 days,울산광역시
울산고래축제,2022-10-13,2022-10-16,3 days,울산광역시
울산마두희축제,2022-09-16,2022-09-18,2 days,울산광역시
태화강 국가정원 봄꽃축제,2022-05-13,2022-05-15,2 days,울산광역시
14회 울산대공원 장미축제,2022-05-25,2022-05-29,4 days,울산광역시
태화강 대숲 납량축제,2022-08-12,2022-08-15,3 days,울산광역시
고싸움놀이축제,2022-11-11,2022-11-13,2 days,광주광역시
굿모닝양림축제,2022-10-12,2022-10-30,18 days,광주광역시
순천시 책 축제,2022-04-23,2022-04-23,0 days,전라남도
문화놀이터 축제,2022-05-01,2022-05-31,30 days,전라남도
저전동 상가골목축제,2022-06-01,2022-06-30,29 days,전라남도
몽미락 거리 축제,2022-07-01,2022-07-31,30 days,전라남도
제17회 순천명품월등복숭아 축제,2022-08-06,2022-08-07,1 days,전라남도
용인 청년 문화 축제 <2022 아트로드>,2022-09-17,2022-09-17,0 days,경기도
2022 부평풍물대축제,2022-09-30,2022-10-02,2 days,인천광역시
삼척동해왕이사부축제,2022-12-09,2022-12-11,2 days,강원도
둔내고랭지토마토축제,2022-08-13,2022-08-15,2 days,강원도
횡성더덕축제,2022-08-26,2022-08-28,2 days,강원도
새명동 상권 축제 시청광장에 어린이들 모여라 어린이 행사 반짝 놀이터,2022-09-03,2022-09-03,0 days,강원도
강동선사문화축제,2022-10-08,2022-10-09,1 days,서울특별시
강원예총 60주년 문화예술대축제 공감음악회,2022-08-27,2022-08-27,0 days,강원도
2022춘천막국수닭갈비축제,2022-08-30,2022-09-04,5 days,강원도
괴산고추축제,2022-09-01,2022-09-04,3 days,충청북도
괴산김장축제,2022-11-04,2022-11-06,2 days,충청북도
향수옥천포도복숭아축제,2022-07-29,2022-07-31,2 days,충청북도
영동곶감축제,2022-01-05,2022-01-25,20 days,충청북도
고창청보리밭축제,2022-05-01,2022-05-15,14 days,전라북도
