areaNm,touNum,baseYmd,avgTemp,dayRf,daySf,festival,holiday,PM10,PM25,AccumulateCovid19,increase,AccumulateReleased,localIncrease,CovidForeigner
서울특별시,1171117.5,2022-01-01,-4.3,0.0,0.0,0,1,0,0,226698.0,1464.0,177348.0,1429.0,35.0
부산광역시,445102.0,2022-01-01,1.9,0.0,0.0,0,1,0,0,25287.0,212.0,21163.0,210.0,2.0
대구광역시,264113.5,2022-01-01,-2.3,0.0,0.0,0,1,0,0,23249.0,125.0,21394.0,125.0,0.0
인천광역시,496692.0,2022-01-01,-3.4,0.0,0.0,0,1,0,0,36962.0,241.0,30703.0,239.0,2.0
광주광역시,161028.0,2022-01-01,-0.1,0.0,0.0,0,1,0,0,8118.0,92.0,7349.0,91.0,1.0
대전광역시,214634.0,2022-01-01,-4.4,0.0,0.0,0,1,0,0,12315.0,65.0,10584.0,64.0,1.0
울산광역시,157447.5,2022-01-01,-0.6,0.0,0.0,0,1,0,0,6923.0,50.0,6371.0,50.0,0.0
세종특별자치시,70805.0,2022-01-01,-5.1,0.0,0.0,0,1,0,0,2158.0,16.0,1957.0,16.0,0.0
경기도,1692999.0,2022-01-01,-7.0,0.0,0.0,0,1,0,0,187754.0,1391.0,147229.0,1359.0,32.0
강원도,673043.0,2022-01-01,-8.2,0.0,0.0,0,1,0,0,12464.0,59.0,11209.0,59.0,0.0
충청북도,308154.0,2022-01-01,-9.2,0.0,0.0,0,1,0,0,11602.0,104.0,10540.0,103.0,1.0
충청남도,539332.5,2022-01-01,-4.9,0.0,0.0,0,1,0,0,18233.0,138.0,15671.0,136.0,2.0
전라북도,311538.5,2022-01-01,-2.7,0.0,0.0,0,1,0,0,9653.0,85.0,8249.0,84.0,1.0
전라남도,442116.5,2022-01-01,0.4,0.0,0.0,0,1,0,0,6126.0,48.0,5404.0,47.0,1.0
경상북도,688541.0,2022-01-01,-7.1,0.0,0.0,0,1,0,0,15431.0,116.0,13456.0,114.0,2.0
경상남도,525623.0,2022-01-01,-2.2,0.0,0.0,0,1,0,0,20840.0,162.0,18366.0,162.0,0.0
제주특별자치도,176764.0,2022-01-01,4.9,0.0,0.0,0,1,0,0,4661.0,23.0,4446.0,22.0,1.0
서울특별시,1112258.0,2022-01-02,-1.3,0.3,0.5,0,1,0,0,227879.0,1183.0,178481.0,1127.0,56.0
부산광역시,373047.5,2022-01-02,4.8,0.0,0.0,0,1,0,0,25503.0,216.0,21539.0,214.0,2.0
대구광역시,248535.0,2022-01-02,0.6,0.0,0.0,0,1,0,0,23335.0,86.0,21544.0,83.0,3.0
인천광역시,376194.0,2022-01-02,-1.2,0.3,0.2,0,1,0,0,37195.0,233.0,30964.0,231.0,2.0
광주광역시,148557.5,2022-01-02,0.7,0.0,0.0,0,1,0,0,8211.0,93.0,7410.0,93.0,0.0
대전광역시,192944.5,2022-01-02,-1.2,0.0,0.0,0,1,0,0,12374.0,59.0,10653.0,54.0,5.0
울산광역시,132051.5,2022-01-02,3.4,0.0,0.0,0,1,0,0,6981.0,58.0,6411.0,58.0,0.0
세종특별자치시,69268.5,2022-01-02,-1.4,0.0,0.0,0,1,0,0,2170.0,12.0,1974.0,12.0,0.0
경기도,1438510.5,2022-01-02,-2.5,0.0,0.0,0,1,0,0,189031.0,1277.0,147387.0,1244.0,33.0
강원도,465815.0,2022-01-02,-2.7,0.0,0.0,0,1,0,0,12523.0,59.0,11312.0,56.0,3.0
충청북도,260676.5,2022-01-02,-5.0,0.0,0.0,0,1,0,0,11652.0,50.0,10613.0,49.0,1.0
