areaNm,touNum,baseYmd,AccumulateCovid19,increase,localIncrease,CovidForeigner
서울특별시,1171117.5,2022-01-01,226698.0,1464.0,1429.0,35.0
부산광역시,445102.0,2022-01-01,25287.0,212.0,210.0,2.0
대구광역시,264113.5,2022-01-01,23249.0,125.0,125.0,0.0
인천광역시,496692.0,2022-01-01,36962.0,241.0,239.0,2.0
광주광역시,161028.0,2022-01-01,8118.0,92.0,91.0,1.0
대전광역시,214634.0,2022-01-01,12315.0,65.0,64.0,1.0
울산광역시,157447.5,2022-01-01,6923.0,50.0,50.0,0.0
세종특별자치시,70805.0,2022-01-01,2158.0,16.0,16.0,0.0
경기도,1692999.0,2022-01-01,187754.0,1391.0,1359.0,32.0
강원도,673043.0,2022-01-01,12464.0,59.0,59.0,0.0
충청북도,308154.0,2022-01-01,11602.0,104.0,103.0,1.0
충청남도,539332.5,2022-01-01,18233.0,138.0,136.0,2.0
전라북도,311538.5,2022-01-01,9653.0,85.0,84.0,1.0
전라남도,442116.5,2022-01-01,6126.0,48.0,47.0,1.0
경상북도,688541.0,2022-01-01,15431.0,116.0,114.0,2.0
경상남도,525623.0,2022-01-01,20840.0,162.0,162.0,0.0
제주특별자치도,176764.0,2022-01-01,4661.0,23.0,22.0,1.0
서울특별시,1112258.0,2022-01-02,227879.0,1183.0,1127.0,56.0
부산광역시,373047.5,2022-01-02,25503.0,216.0,214.0,2.0
대구광역시,248535.0,2022-01-02,23335.0,86.0,83.0,3.0
인천광역시,376194.0,2022-01-02,37195.0,233.0,231.0,2.0
광주광역시,148557.5,2022-01-02,8211.0,93.0,93.0,0.0
대전광역시,192944.5,2022-01-02,12374.0,59.0,54.0,5.0
울산광역시,132051.5,2022-01-02,6981.0,58.0,58.0,0.0
세종특별자치시,69268.5,2022-01-02,2170.0,12.0,12.0,0.0
경기도,1438510.5,2022-01-02,189031.0,1277.0,1244.0,33.0
강원도,465815.0,2022-01-02,12523.0,59.0,56.0,3.0
충청북도,260676.5,2022-01-02,11652.0,50.0,49.0,1.0
충청남도,408474.5,2022-01-02,18334.0,101.0,98.0,3.0
전라북도,252087.5,2022-01-02,9732.0,79.0,76.0,3.0
전라남도,342702.5,2022-01-02,6168.0,42.0,40.0,2.0
경상북도,522186.0,2022-01-02,15525.0,94.0,94.0,0.0
경상남도,434304.5,2022-01-02,20981.0,141.0,136.0,5.0
제주특별자치도,169652.0,2022-01-02,4680.0,19.0,18.0,1.0
서울특별시,1067566.5,2022-01-03,228867.0,993.0,964.0,29.0
부산광역시,258205.5,2022-01-03,25676.0,173.0,166.0,7.0
대구광역시,180652.5,2022-01-03,23433.0,98.0,97.0,1.0
인천광역시,249448.5,2022-01-03,37382.0,187.0,177.0,10.0
광주광역시,114684.5,2022-01-03,8286.0,75.0,73.0,2.0
대전광역시,138341.0,2022-01-03,12423.0,49.0,46.0,3.0
울산광역시,89708.5,2022-01-03,7019.0,38.0,38.0,0.0
세종특별자치시,47064.5,2022-01-03,2180.0,10.0,9.0,1.0
경기도,1036084.0,2022-01-03,189948.0,917.0,894.0,23.0
강원도,241479.0,2022-01-03,12577.0,54.0,50.0,4.0
충청북도,163971.5,2022-01-03,11699.0,47.0,45.0,2.0
충청남도,238511.0,2022-01-03,18449.0,115.0,115.0,0.0
전라북도,145708.5,2022-01-03,9818.0,86.0,83.0,3.0
전라남도,201355.0,2022-01-03,6203.0,35.0,33.0,2.0
경상북도,278936.0,2022-01-03,15574.0,49.0,47.0,2.0
경상남도,261527.0,2022-01-03,21113.0,132.0,129.0,3.0
제주특별자치도,159526.5,2022-01-03,4708.0,28.0,27.0,1.0
서울특별시,1134094.5,2022-01-04,229801.0,938.0,903.0,35.0
부산광역시,258317.5,2022-01-04,25821.0,145.0,143.0,2.0
대구광역시,179609.5,2022-01-04,23517.0,84.0,79.0,5.0
인천광역시,261201.5,2022-01-04,37553.0,171.0,162.0,9.0
광주광역시,114607.5,2022-01-04,8347.0,61.0,59.0,2.0
대전광역시,138705.0,2022-01-04,12457.0,34.0,31.0,3.0
울산광역시,90307.0,2022-01-04,7053.0,34.0,33.0,1.0
세종특별자치시,50963.5,2022-01-04,2191.0,11.0,11.0,0.0
경기도,1088916.5,2022-01-04,190895.0,947.0,916.0,31.0
강원도,230898.5,2022-01-04,12640.0,63.0,62.0,1.0
충청북도,171020.5,2022-01-04,11760.0,61.0,61.0,0.0
충청남도,246424.5,2022-01-04,18563.0,114.0,110.0,4.0
전라북도,145575.5,2022-01-04,9910.0,92.0,89.0,3.0
전라남도,209107.5,2022-01-04,6249.0,46.0,42.0,4.0
경상북도,283895.5,2022-01-04,15636.0,62.0,59.0,3.0
경상남도,264565.0,2022-01-04,21229.0,117.0,112.0,5.0
제주특별자치도,156488.5,2022-01-04,4726.0,18.0,17.0,1.0
서울특별시,1175737.5,2022-01-05,231213.0,1412.0,1346.0,66.0
부산광역시,260330.0,2022-01-05,26076.0,255.0,248.0,7.0
대구광역시,185013.5,2022-01-05,23629.0,112.0,108.0,4.0
인천광역시,273696.5,2022-01-05,37824.0,271.0,261.0,10.0
광주광역시,117047.0,2022-01-05,8422.0,75.0,73.0,2.0
대전광역시,146048.0,2022-01-05,12508.0,51.0,41.0,10.0
울산광역시,93520.0,2022-01-05,7101.0,48.0,47.0,1.0
세종특별자치시,52755.5,2022-01-05,2208.0,17.0,17.0,0.0
경기도,1126797.0,2022-01-05,192362.0,1467.0,1416.0,51.0
강원도,234822.0,2022-01-05,12709.0,69.0,68.0,1.0
충청북도,180061.0,2022-01-05,11828.0,68.0,67.0,1.0
충청남도,253473.5,2022-01-05,18702.0,139.0,137.0,2.0
전라북도,147581.0,2022-01-05,10007.0,97.0,93.0,4.0
전라남도,212919.0,2022-01-05,6309.0,60.0,60.0,0.0
경상북도,288368.5,2022-01-05,15733.0,97.0,97.0,0.0
경상남도,268978.5,2022-01-05,21343.0,114.0,111.0,3.0
제주특별자치도,160191.5,2022-01-05,4769.0,43.0,43.0,0.0
서울특별시,1225234.5,2022-01-06,232419.0,1208.0,1150.0,58.0
부산광역시,271908.0,2022-01-06,26304.0,228.0,222.0,6.0
대구광역시,190624.0,2022-01-06,23739.0,110.0,106.0,4.0
인천광역시,287721.0,2022-01-06,38107.0,283.0,273.0,10.0
광주광역시,123077.5,2022-01-06,8513.0,91.0,91.0,0.0
대전광역시,152768.0,2022-01-06,12549.0,41.0,38.0,3.0
울산광역시,97030.5,2022-01-06,7131.0,30.0,28.0,2.0
세종특별자치시,56546.0,2022-01-06,2226.0,18.0,18.0,0.0
경기도,1179069.5,2022-01-06,193888.0,1526.0,1496.0,30.0
강원도,249287.5,2022-01-06,12766.0,57.0,54.0,3.0
충청북도,187568.5,2022-01-06,11873.0,45.0,45.0,0.0
충청남도,269230.5,2022-01-06,18781.0,79.0,77.0,2.0
전라북도,156765.0,2022-01-06,10078.0,71.0,71.0,0.0
전라남도,223331.5,2022-01-06,6368.0,59.0,57.0,2.0
경상북도,301497.0,2022-01-06,15822.0,89.0,88.0,1.0
경상남도,282548.0,2022-01-06,21446.0,103.0,101.0,2.0
제주특별자치도,169487.5,2022-01-06,4788.0,19.0,16.0,3.0
서울특별시,1325901.5,2022-01-07,233457.0,1038.0,979.0,59.0
부산광역시,308112.0,2022-01-07,26511.0,207.0,204.0,3.0
대구광역시,218246.0,2022-01-07,23838.0,99.0,95.0,4.0
인천광역시,320288.5,2022-01-07,38288.0,181.0,172.0,9.0
광주광역시,141771.0,2022-01-07,8600.0,87.0,87.0,0.0
대전광역시,175339.5,2022-01-07,12578.0,29.0,28.0,1.0
울산광역시,106144.5,2022-01-07,7169.0,38.0,33.0,5.0
세종특별자치시,62401.5,2022-01-07,2240.0,14.0,14.0,0.0
경기도,1298633.0,2022-01-07,195149.0,1261.0,1224.0,37.0
강원도,311517.5,2022-01-07,12856.0,90.0,88.0,2.0
충청북도,214630.5,2022-01-07,11963.0,90.0,88.0,2.0
충청남도,305833.5,2022-01-07,18897.0,116.0,108.0,8.0
전라북도,183883.0,2022-01-07,10162.0,84.0,78.0,6.0
전라남도,251993.0,2022-01-07,6492.0,124.0,120.0,4.0
경상북도,344757.0,2022-01-07,15931.0,109.0,104.0,5.0
경상남도,315262.5,2022-01-07,21548.0,102.0,99.0,3.0
제주특별자치도,178549.0,2022-01-07,4798.0,10.0,8.0,2.0
서울특별시,1551105.5,2022-01-08,234449.0,994.0,933.0,61.0
부산광역시,400501.5,2022-01-08,26692.0,181.0,173.0,8.0
대구광역시,287472.5,2022-01-08,23946.0,108.0,104.0,4.0
인천광역시,434420.0,2022-01-08,38491.0,203.0,193.0,10.0
광주광역시,178993.5,2022-01-08,8689.0,89.0,87.0,2.0
대전광역시,235630.5,2022-01-08,12625.0,47.0,42.0,5.0
울산광역시,133154.0,2022-01-08,7196.0,27.0,27.0,0.0
세종특별자치시,81707.5,2022-01-08,2252.0,12.0,11.0,1.0
경기도,1711720.5,2022-01-08,196357.0,1208.0,1168.0,40.0
강원도,483437.5,2022-01-08,12937.0,81.0,77.0,4.0
충청북도,290955.0,2022-01-08,12016.0,53.0,51.0,2.0
충청남도,444524.5,2022-01-08,18993.0,96.0,93.0,3.0
전라북도,264236.0,2022-01-08,10229.0,67.0,64.0,3.0
전라남도,341271.0,2022-01-08,6588.0,96.0,93.0,3.0
경상북도,491151.5,2022-01-08,16016.0,85.0,82.0,3.0
경상남도,427458.5,2022-01-08,21648.0,101.0,96.0,5.0
제주특별자치도,183526.0,2022-01-08,4807.0,9.0,6.0,3.0
서울특별시,1289669.5,2022-01-09,235415.0,966.0,891.0,75.0
부산광역시,360024.0,2022-01-09,26850.0,158.0,151.0,7.0
대구광역시,243477.5,2022-01-09,24054.0,108.0,105.0,3.0
인천광역시,390670.0,2022-01-09,38676.0,185.0,172.0,13.0
