areaNm,daywkDivNm,touNum,baseYmd
서울특별시,토요일,1171117.5,2022-01-01
부산광역시,토요일,445102.0,2022-01-01
대구광역시,토요일,264113.5,2022-01-01
인천광역시,토요일,496692.0,2022-01-01
광주광역시,토요일,161028.0,2022-01-01
대전광역시,토요일,214634.0,2022-01-01
울산광역시,토요일,157447.5,2022-01-01
세종특별자치시,토요일,70805.0,2022-01-01
경기도,토요일,1692999.0,2022-01-01
강원도,토요일,673043.0,2022-01-01
충청북도,토요일,308154.0,2022-01-01
충청남도,토요일,539332.5,2022-01-01
전라북도,토요일,311538.5,2022-01-01
전라남도,토요일,442116.5,2022-01-01
경상북도,토요일,688541.0,2022-01-01
경상남도,토요일,525623.0,2022-01-01
제주특별자치도,토요일,176764.0,2022-01-01
서울특별시,일요일,1112258.0,2022-01-02
부산광역시,일요일,373047.5,2022-01-02
대구광역시,일요일,248535.0,2022-01-02
인천광역시,일요일,376194.0,2022-01-02
광주광역시,일요일,148557.5,2022-01-02
대전광역시,일요일,192944.5,2022-01-02
울산광역시,일요일,132051.5,2022-01-02
세종특별자치시,일요일,69268.5,2022-01-02
경기도,일요일,1438510.5,2022-01-02
강원도,일요일,465815.0,2022-01-02
충청북도,일요일,260676.5,2022-01-02
충청남도,일요일,408474.5,2022-01-02
전라북도,일요일,252087.5,2022-01-02
전라남도,일요일,342702.5,2022-01-02
경상북도,일요일,522186.0,2022-01-02
경상남도,일요일,434304.5,2022-01-02
제주특별자치도,일요일,169652.0,2022-01-02
서울특별시,월요일,1067566.5,2022-01-03
부산광역시,월요일,258205.5,2022-01-03
대구광역시,월요일,180652.5,2022-01-03
인천광역시,월요일,249448.5,2022-01-03
광주광역시,월요일,114684.5,2022-01-03
대전광역시,월요일,138341.0,2022-01-03
울산광역시,월요일,89708.5,2022-01-03
세종특별자치시,월요일,47064.5,2022-01-03
경기도,월요일,1036084.0,2022-01-03
강원도,월요일,241479.0,2022-01-03
충청북도,월요일,163971.5,2022-01-03
충청남도,월요일,238511.0,2022-01-03
전라북도,월요일,145708.5,2022-01-03
전라남도,월요일,201355.0,2022-01-03
경상북도,월요일,278936.0,2022-01-03
경상남도,월요일,261527.0,2022-01-03
제주특별자치도,월요일,159526.5,2022-01-03
서울특별시,화요일,1134094.5,2022-01-04
부산광역시,화요일,258317.5,2022-01-04
대구광역시,화요일,179609.5,2022-01-04
인천광역시,화요일,261201.5,2022-01-04
광주광역시,화요일,114607.5,2022-01-04
대전광역시,화요일,138705.0,2022-01-04
울산광역시,화요일,90307.0,2022-01-04
세종특별자치시,화요일,50963.5,2022-01-04
경기도,화요일,1088916.5,2022-01-04
강원도,화요일,230898.5,2022-01-04
충청북도,화요일,171020.5,2022-01-04
충청남도,화요일,246424.5,2022-01-04
전라북도,화요일,145575.5,2022-01-04
전라남도,화요일,209107.5,2022-01-04
