축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
강원대학교 산학협력단 K-Digital Training 제2기 교육생 모집,강원대학교 춘천캠퍼스,2022-10-04,2023-03-13,언리얼엔진 기반 메타버스 개발자 양성 과정 교육생 모집,고용노동부,강원대학교 산학협력단,,033-250-8945,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10763,행사+축제,강원도 춘천시 강원대학길 1,강원도 춘천시 효자동 192-1,37.86802431,127.74838741,2023-01-12,4180000,강원도 춘천시
자연과 영혼을 담은 구자근展,춘천미술관 전관,2022-09-02,2022-09-07,자연과 영혼을 담은,구자근,구자근,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10753&search_type=1&search_keyword=EC9E90EC97B0EAB3BC+EC9881ED98BCEC9D84+EB8BB4EC9D805D+EAB5ACEC9E90EAB7BCE5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
한동국 현관문,개나리미술관,2022-09-02,2022-09-18,"개나리미술관에서 원주출신,한동국의 첫 개인전을 개최",한동국,강원문화재단,,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10752&search_type=1&search_keyword=ED959CEB8F99EAB5AD+3A+ED9884EAB480EBACB8,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.75829500,2023-01-12,4180000,강원도 춘천시
2022 춘천학 학술대회 댐과 춘천의 미래,강원대학교 60주년기념관 국제회의실,2022-08-26,2022-08-26,2022 춘천학 학술대회,춘천문화원 춘천학연구소,춘천문화원 춘천학연구소,,033-244-5106,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10710&search_type=1&search_keyword=2022+ECB698ECB29CED9599+ED9599EC88A0EB8C80ED9A8C5D+EB8C90EAB3BC+ECB698ECB29CEC9D98+EBAFB8EB9E98,행사+축제,강원도 춘천시 강원대학길 1,강원도 춘천시 효자동 192-1,37.86802431,127.74838741,2023-01-12,4180000,강원도 춘천시
할말하않 황효창展,개나리미술관,2022-08-16,2022-08-28,황효창 작가의 초대전,개나리미술관,개나리미술관,,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10703&search_type=1&search_keyword=ED95A0EBA790ED9598EC958A+3A+ED99A9ED9AA8ECB0BDE5B195,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.75829500,2023-01-12,4180000,강원도 춘천시
힘찬 제왕수탉_ 제왕수탉 힘찬울림 Coq-imperial Powerful sound,춘천미술관 전관,2022-08-19,2022-08-31,이승철 초대전 LegendLee Invitation Exhibit,(사)한국미술협회 춘천지부,(사)한국미술협회 춘천지부,강원도 춘천시청,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10691,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
유관선 사진전- 해빙,문화공간 역,2022-06-03,2022-06-09,2년간의 조사와 촬영시기를 체크하고 2주간의 변화되는 형상을 표현,유관선,유관선,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10505,전시관람,강원도 춘천시 영서로 2260,강원도 춘천시 퇴계동 633-2 남춘천역,37.86404439,127.72391519,2023-01-12,4180000,강원도 춘천시
길창인 개인전 - 회귀,갤러리 상상언더,2022-07-16,2022-05-30,길창인 개인전 회귀’,길창인,길창인,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10499&search_type=1&search_keyword=EAB8B8ECB0BDEC9DB8+EAB09CEC9DB8ECA084,전시관람,강원도 춘천시 금강로 86,강원도 춘천시 운교동 169,37.87764946,127.72981000,2023-01-12,4180000,강원도 춘천시
춘천여성미술작가회『만화방창』展,춘천미술관 1~2층 전관,2022-06-17,2022-06-22,만화방창이라는 주제로 만물이 소생하듯 여성작가의 고뇌와 변화하는 모습을 다양한 작업 영역에서 작가들의 조형언어로 현대미술의 웅지를 펼치고자 한다.,춘천여성미술작가회,춘천여성미술작가회,춘천문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10488&search_type=1&search_keyword=ECB698ECB29CEC97ACEC84B1EBAFB8EC88A0EC9E91EAB080ED9A8CE3808EEBA78CED9994EBB0A9ECB0BDE3808FE5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
제2회 춘천 국제 어린이 그림 교류전,춘천미술관 전관,2022-05-27,2022-06-01,본 전시는 춘천시 해외교류도시와의 미술작품 교류를 통해 문화교류의 장을 만드는 전시,강원도 춘천시청,강원도 춘천시청,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10487&search_type=1&search_keyword=ECA09C2ED9A8C+ECB698ECB29C+EAB5ADECA09C+EC96B4EBA6B0EC9DB4+EAB7B8EBA6BC+EAB590EBA598ECA084,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
애니메이션박물관 제17회 기획전 세상을 바꾼 불꽃 태일이,애니메이션박물관 2층 기획전시실,2022-05-03,2023-04-16,한국 노동현대사를 대표하는 전태일이 2021년 12월 장편 애니메이션으로 탄생했다.,(재)강원정보문화산업진흥원,(재)강원정보문화산업진흥원,강원도청+강원도 춘천시청,033-245-6470,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EC95A0EB8B88EBA994EC9DB4EC8598EBB095EBACBCEAB480+ECA09C17ED9A8C+EAB8B0ED9A8DECA084+5BEC84B8EC8381EC9D84+EBB094EABEBC+EBB688EABD832C+ED839CEC9DBCEC9DB45D,전시관람,강원도 춘천시 서면 박사로 854 애니메이션박물관,강원도 춘천시 현암리 367-3,37.89299400,127.69195800,2023-01-12,4180000,강원도 춘천시
개나리미술관 신진작가공모 선정작가전-최인엽,개나리미술관,2022-04-22,2022-05-05,신진작가공모 선정작가전-최인엽,개나리미술관,개나리미술관,춘천문화재단,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10404,전시관람,강원도 춘천시 동내면 거두택지길44번길 7-19,강원도 춘천시 동내면 거두리 1123-6,37.85454653,127.75829500,2023-01-12,4180000,강원도 춘천시
Re Birth - 다시 삶으로,춘천미술관 1F,2022-04-15,2022-04-20,Re Birth - 다시 삶으로 홍연화 첫번째 개인전,홍연화,홍연화,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10383,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73133500,2023-01-12,4180000,강원도 춘천시
